label,source,text,username,mention,title,state
From: John Barrasso (Senator from Wyoming),twitter,was an honor &amp; a privilege to visit &amp; thank @wyoguard troops stationed in #bahrain this 4th of july weekend. http://t.co/rx1rdulmyx,john barrasso,['@wyoguard'],Senator,Wyoming
From: Amy Klobuchar (Senator from Minnesota),twitter,senate will be done but mess inhouse:republican hardliners block strategy to avoid shutdown  @washingtonpost http://t.co/arxkbe8bbk,amy klobuchar,['@washingtonpost'],Senator,Minnesota
From: Raul Ruiz (Representative from California),twitter,icymi: i talked to @mydesert about how congress will have to work together to pass a strong #cir bill in the house http://t.co/1syj2gev4c,raul ruiz,['@mydesert'],Representative,California
From: Richard Burr (Senator from North Carolina),twitter,parents want to know their kids are in a safe place w/ qualified providers. ccdbg is essential 4 #childcareprotection http://t.co/wxfvagfe2l,richard burr,[],Senator,North Carolina
From: Mike Lee (Senator from Utah),twitter,should utah be forced by the epa to lower ozone levels below the naturally occurring level? http://t.co/ongfkqxokk @utahpoliticohub #utpol,mike lee,['@utahpoliticohub'],Senator,Utah
From: Bill Cassidy (Representative from Louisiana),twitter,"""landrieu still has only about a 1-in-3 chance of winning even when her incumbent status is included"" http://t.co/dtcgthynv8 #lasen",bill cassidy,[],Representative,Louisiana
From: Harold Rogers (Representative from Kentucky),twitter,@matthewwymt &amp; @michellewymt stopped by my office earlier to talk about #rxdrugabuse. watch @wymt at 6pm. http://t.co/28tcnbgfca,harold rogers,"['@matthewwymt', '@michellewymt', '@wymt']",Representative,Kentucky
From: Tim Walz (Representative from Minnesota),twitter,"so very sad to hear about the passing of jim ragsdale. he was a true professional &amp; a kind soul.  jim, you will be missed greatly.",tim walz,[],Representative,Minnesota
From: Scott Peters (Representative from California),twitter,"""balboa park is the only place in usa with 28 major cultural institutions w/in 1 sq mile."" #arts cc:.@repsusandavis http://t.co/xggrkdi9iv",scott peters,['@repsusandavis'],Representative,California
From: Patrick Leahy (Senator from Vermont),twitter,"photo: joined ""world's most interesting man"" (from america's most interesting state) @ #landmines event on cap. hill http://t.co/6cvbofvnlu",patrick leahy,[],Senator,Vermont
From: Jim Langevin (Representative from Rhode Island),twitter,"w/ri cong delegation, mayors, police, @tenygross &amp; families affected by guns to present unified voice on gun safety http://t.co/9e78icsvoq",jim langevin,['@tenygross'],Representative,Rhode Island
From: Niki Tsongas (Representative from Massachusetts),twitter,congrats @hanscom_afb c-ied team! their work on detecting &amp; destroying ieds earned the theodore von karman award http://t.co/2woil3arpt,niki tsongas,['@hanscom'],Representative,Massachusetts
From: Michele Bachmann (Representative from Minnesota),twitter,since 1970 our spending has grown 288% while the median income has grown only 24%-- a difference of 264%. http://t.co/g5q55bwi #tcot,michele bachmann,[],Representative,Minnesota
From: Barbara Mikulski (Senator from Maryland),twitter,mandela. chg. south africa chg the world. inspired hearts n minds of millions of us. condolences to his family n south african people,barbara mikulski,[],Senator,Maryland
From: Jim Himes (Representative from Connecticut),twitter,"got a mess of oysters and clams out on sound this morning. these guys have a rendezvous with white wine, fresh garlic, shallots and pepper.",jim himes,[],Representative,Connecticut
From: Lois Frankel (Representative from Florida),twitter,rt if you think america succeeds when #womensucceed http://t.co/ubqrhikuvg,lois frankel,[],Representative,Florida
From: Adam Kinzinger (Representative from Illinois),twitter,tips for staying warm should you be outside this week helping clean after recent storms via the coal city courant: http://t.co/j5hwgekidp,adam kinzinger,[],Representative,Illinois
From: David Schweikert (Representative from Arizona),twitter,rt @kevinscholla: my interview w/@repdavid schweikert on @sarahnetradio! huge meeting coming up w/constituents! http://t.co/pf2edk5kxg û_,david schweikert,"['@kevinscholla', '@repdavid', '@sarahnetradio']",Representative,Arizona
From: Vicky Hartzler (Representative from Missouri),twitter,"st. robert community center, 114 jh williamson dr. in st. robert (2 of 3)",vicky hartzler,[],Representative,Missouri
From: Scott Perry (Representative from Pennsylvania),twitter,joining @robbhanrahancbs on face the state on @cbs21news around 11:30 this morning to talk about #ebola. http://t.co/wcqg6kppf5,scott perry,"['@robbhanrahancbs', '@cbs21news']",Representative,Pennsylvania
From: Martha Roby (Representative from Alabama),twitter,"in the hustle and bustle of the holidays (and don't forget its also iron bowl week), i know its easy to get distracted.",martha roby,[],Representative,Alabama
From: John Boehner (Representative from Ohio),twitter,"great to see -- @johnerardi says, ""ted kremer will be @reds' batboy tonight"" http://t.co/mmmbpmlauq",john boehner,"['@johnerardi', '@reds']",Representative,Ohio
From: Joe Heck (Representative from Nevada),twitter,celebrating @usmc 239th bday at so. nv marine corps ball - largest non-active duty ball in the world! semper fi! http://t.co/f8d9aonfpl,joe heck,['@usmc'],Representative,Nevada
From: Phil Roe (Representative from Tennessee),twitter,now is the time to balance the budget http://t.co/aaokh9gg,phil roe,[],Representative,Tennessee
From: Michael Crapo (Senator from Idaho),twitter,welcome to @senatebanking @sen_joemanchin @elizabethforma @senatorheitkamp @tomcoburn &amp; @sendeanheller. look fwd to working with all of you.,michael crapo,"['@senatebanking', '@sen', '@elizabethforma', '@senatorheitkamp', '@tomcoburn', '@sendeanheller']",Senator,Idaho
From: Randy Hultgren (Representative from Illinois),twitter,"april is sexual assault awareness month. according to @rainn01, 60% of sexual assaults are not reported to police. #standup #saam",randy hultgren,['@rainn01'],Representative,Illinois
From: Peter Roskam (Representative from Illinois),twitter,house gop r focused on pro-growth bills #4jobs. itûªs time #senatedems act on these bills so ppl can get back 2 work http://t.co/djssqxyurc,peter roskam,[],Representative,Illinois
From: Debbie Wasserman Schultz (Representative from Florida),twitter,.@kerrywashington congrats on @ellemagazine cover! so excited for you! #girlpower,debbie wasserman schultz,"['@kerrywashington', '@ellemagazine']",Representative,Florida
From: Bob Corker (Senator from Tennessee),twitter,#sfrc hearing today at 10:00 a.m. et with secretary kerry. watch live: http://t.co/ay1kz8x97x,bob corker,[],Senator,Tennessee
From: Erik Paulsen (Representative from Minnesota),twitter,for 3 mos. the irs failed to tell congress they couldn't provide lerner emails. my speech abt need for accountability:http://t.co/spq6b3d5nw,erik paulsen,[],Representative,Minnesota
From: Bill Enyart (Representative from Illinois),twitter,been discussing impact aid &amp; military students in mascoutah. 60% of students at mascoutah are affiliated w/ @scottafb http://t.co/i2prvghifl,bill enyart,['@scottafb'],Representative,Illinois
From: Pat Roberts (Senator from Kansas),twitter,thanks to the pawnee county folks who turned out to the town hall meeting in larned. these folks areû_ http://t.co/sqsef5p5vl,pat roberts,[],Senator,Kansas
From: Robert Pittenger (Representative from North Carolina),twitter,.@theobserver editors agree the president's admin earned their reputation for obfuscation &amp; disregard for failures http://t.co/mpotp2fw1k,robert pittenger,['@theobserver'],Representative,North Carolina
From: Mark Meadows (Representative from North Carolina),twitter,it's time the obama admin answer to the american people on #benghazi. four americans were murdered and no one has been held accountable.,mark meadows,[],Representative,North Carolina
From: Frederica Wilson (Representative from Florida),twitter,rep. wilson commemorates the third anniversary of the earthquake with a call to action: remember #haiti. http://t.co/05vbzrdw,frederica wilson,[],Representative,Florida
From: John Boehner (Representative from Ohio),twitter,"vets groups, editorials, democrats agree: more funding äê more #vaaccountability http://t.co/9i3lxjxzac",john boehner,[],Representative,Ohio
From: Eleanor Norton (Representative from NA),twitter,"looking for job? help me, help residents looking for a job. participate in our roundtable on unemployment. call my office at 202-408-9041.",eleanor norton,[],Representative,NA
From: Joe Barton (Representative from Texas),twitter,traveling 6th district! spent tues speaking to @fwhcc &amp; awarding ryan esplin the tdf foundation veterans scholarship https://t.co/jylqnqamwj,joe barton,['@fwhcc'],Representative,Texas
From: John Culberson (Representative from Texas),twitter,great crowd at the town hall tonight. thanks to all those who came out and asked questions. http://t.co/ne0odbfo8u,john culberson,[],Representative,Texas
From: Chris Van Hollen (Representative from Maryland),twitter,almost one year since the senate passed comprehensive immigration reform. the #timeisnow for the house to act! http://t.co/sesuk4jjwg,chris van hollen,[],Representative,Maryland
From: Todd Rokita (Representative from Indiana),twitter,i am deeply concerned by and condemn the over 400 rocket attacks launched by hamas against israel. http://t.co/cua9vek9pq,todd rokita,[],Representative,Indiana
From: Ileana Ros-Lehtinen (Representative from Florida),twitter,"rt @uani: the only vote that counts in the #iranelection today: that of the unelected ""supreme leader"" http://t.co/a3acacqqrh",ileana ros-lehtinen,['@uani'],Representative,Florida
From: Dana Rohrabacher (Representative from California),twitter,@ladybigmac @speakerboehner @virginiafoxx @reptomreed @keithrothfus @repkevincramer yep obama uses fed agencies against political opponents,dana rohrabacher,"['@ladybigmac', '@speakerboehner', '@virginiafoxx', '@reptomreed', '@keithrothfus', '@repkevincramer']",Representative,California
From: Donna Edwards (Representative from Maryland),twitter,"@gillespie_r6 let's not make the same mistake in the future by appreciating fully what happened. yes, let's move forward, but facts matter.",donna edwards,['@gillespie'],Representative,Maryland
From: Maria Cantwell (Senator from Washington),twitter,congratulations to sally jewell for being officially sworn in as the new @interior secretary: http://t.co/zi07xeh0gd,maria cantwell,['@interior'],Senator,Washington
From: Tammy Baldwin (Senator from Wisconsin),twitter,our #madeinwi economy is always cooking up something good! check out @madisoncollege's new culinary training center. http://t.co/19lrccwwpp,tammy baldwin,['@madisoncollege'],Senator,Wisconsin
From: Donald Payne Jr. (Representative from New Jersey),twitter,"the faces of hunger are veterans, children, seniors, and the disabled. .@gopleader don't cut #snap. #endhungernow http://t.co/zvimyzi1kc",donald payne jr.,['@gopleader'],Representative,New Jersey
From: Pat Meehan (Representative from Pennsylvania),twitter,#delco county council chairman tom mcgarrigle has declared a #weather-related state of emergency,pat meehan,[],Representative,Pennsylvania
From: Michael Fitzpatrick (Representative from Pennsylvania),twitter,"today, i held an autism round table at peaceful living in new britain. great dialog between local groups in the... http://t.co/qpfmevzmm3",michael fitzpatrick,[],Representative,Pennsylvania
From: Betty McCollum (Representative from Minnesota),twitter,thanks @onecampaign for visiting my st. paul staff &amp; for all the great work you do fighting global #poverty &amp; #hunger http://t.co/xcsocfoewc,betty mccollum,['@onecampaign'],Representative,Minnesota
From: Mike Pompeo (Representative from Kansas),twitter,"#proddenergy here's the thing: oil &amp; wind don't compete. yet @stabenow said this morning that ""wind needs to catch up.""",mike pompeo,['@stabenow'],Representative,Kansas
From: Richard Blumenthal (Senator from Connecticut),twitter,i'll continue working for strong bipartisan comprehensive #immigrationreform plan including #dreamact w support of groups like @ct4adream,richard blumenthal,['@ct4adream'],Senator,Connecticut
From: Kelly Ayotte (Senator from New Hampshire),twitter,need to find most effective ways to address this #addiction crisis so that people like the griffins know where to go to get help,kelly ayotte,[],Senator,New Hampshire
From: Dan Benishek (Representative from Michigan),twitter,"the president must never be able to make unilateral decisions about enforcing some laws, but not others. http://t.co/cvait2em3x",dan benishek,[],Representative,Michigan
From: Mitch McConnell (Senator from Kentucky),twitter,"president obama missed this yearûªs legal deadline to submit a budget to congress, just like he has nearly every year of his presidency.",mitch mcconnell,[],Senator,Kentucky
From: C.A. Dutch Ruppersberger (Representative from Maryland),twitter,".@deltadiva3 one idea is to allow students to pay the same rate on govt loans as big banks, which are currently about 0.75% #askdems",c.a. dutch ruppersberger,['@deltadiva3'],Representative,Maryland
From: Sheila Jackson-Lee (Representative from Texas),twitter,school shootings should not be our nation's norm.  http://t.co/vecos6ersb,sheila jackson-lee,[],Representative,Texas
From: Bill Johnson (Representative from Ohio),twitter,my stamement on the house passed appropriations bill: http://t.co/g7vhsahfm6,bill johnson,[],Representative,Ohio
From: Todd Rokita (Representative from Indiana),twitter,"yesterday, i shared janetûªs story on the house floor. http://t.co/s1kyr2tz9f",todd rokita,[],Representative,Indiana
From: AndrÌ© Carson (Representative from Indiana),twitter,@sendancoats great movie!,andrì© carson,['@sendancoats'],Representative,Indiana
From: Ann Wagner (Representative from Missouri),twitter,honored to spend time with employees at boeing last night to celebrate their long history of service to our country. http://t.co/wdeqg0odmo,ann wagner,[],Representative,Missouri
From: John Cornyn (Senator from Texas),twitter,"meeting with my friend governor perry this morning, who is in town to address cpac",john cornyn,[],Senator,Texas
From: John Hoeven (Senator from North Dakota),twitter,tune in starting @ 9:30am ct for live video of uss north dakota christening ceremony http://t.co/xynmdj6jx5 or http://t.co/yessjbsvtf,john hoeven,[],Senator,North Dakota
From: Christopher Murphy (Senator from Connecticut),twitter,"today: farmington, ehartford, willimantic, thompson, hartford, manchester.",christopher murphy,[],Senator,Connecticut
